Título	Tiempo de Lectura (min)	Primer Nombre Autor	Apellido Autor	Nombre Completo Autor	País	Género	Año de nacimiento	Año de muerte	Autores relacionados	Categorías
Las vocales de colores	1.525	Baroja, Pío	Baroja	Pío	España	Romanticismo	1872.0	1956.0	Antonio Machado,Benito Pérez Galdós,Camilo José Cela,Daniel Defoe,Ernest Hemingway,Jacinto Benavente,José Ortega y Gasset,Julio Verne,Miguel de Unamuno,Robert Louis Stevenson,Rubén Darío	Académicos de la Real Academia Espanola,Alumnado de la Universidad Central de Madrid,Anticlericales,Anticomunistas de Espana,Autobiógrafos de Espana,Escritores de Espana de la generación del 98,Escritores de aventuras,Escritores del País Vasco,Escritores médicos,Escritores sobre el carlismo,Exiliados del franquismo en Francia,Fallecidos en 1956,Fallecidos en Madrid,Fallecidos por complicaciones cardiovasculares,Hombres,Médicos de Atención Primaria de Espana,Médicos de Guipúzcoa,Nacidos en 1872,Nacidos en San Sebastián,Novelistas de Espana del siglo XX,Personas de Vera de Bidasoa,Pío Baroja,Sepultados en el cementerio civil de Madrid
Cuánto se divertían	4.935	Asimov, Isaac	Asimov	Isaac	Estados Unidos	Romanticismo	1920.0	1992.0	Arthur C. Clarke,Kurt Vonnegut	Alumnado de la Universidad de Columbia,Ateos de Estados Unidos,Ateos judíos,Autobiógrafos de Estados Unidos,Autores ganadores del premio Hugo,Autores ganadores del premio Nébula,Comité para la Investigación Escéptica,Críticos de las religiones,Demócratas de Estados Unidos,Emigrantes soviéticos hacia Estados Unidos,Escritores de Estados Unidos del siglo XX,Escritores de ciencia ficción de Estados Unidos,Escritores de divulgación científica,Escritores en inglés del siglo XX,Escritores judíos,Escritores modernos de ficción relacionada con la mitología griega,Escépticos,Fallecidos en 1992,Fallecidos en Manhattan,Fallecidos por sida en Estados Unidos,Hombres,Humoristas de Estados Unidos,Isaac Asimov,Judíos de Estados Unidos,Miembros de Mensa,Miembros de la Academia Estadounidense de las Artes y las Ciencias,Militares estadounidenses de la Segunda Guerra Mundial,Nacidos en 1920,Novelistas de Estados Unidos,Personas de Brooklyn,Polímatas,Profesores de la Universidad de Boston
Todo lo contrario	0.795	Benedetti, Mario	Benedetti	Mario	Uruguay	Romanticismo	1920.0	2009.0	Gabriela Mistral,José Saramago,Pablo Neruda,Rubén Darío	Fallecidos en 2009,Hombres,Mario Benedetti,Nacidos en 1920
La carne	5.26	Pinera, Virgilio	Pinera	Virgilio	Cuba	Unknown	1912.0	1979.0	Charles Baudelaire,Cintio Vitier,Eliseo Diego,Gastón Baquero,Jorge Luis Borges,José Lezama Lima,Victoria Ocampo	Cuentistas de Cuba,Dramaturgos de Cuba,Escritores LGBT de Cuba,Escritores de Cuba,Escritores de literatura fantástica de Cuba,Escritores en espanol,Escritores gais,Fallecidos en 1979,Fallecidos en La Habana,Gais de Cuba,Hombres,Nacidos en 1912,Nacidos en Cárdenas (Cuba),Poesía moderna,Poetas de Cuba,Premio Casa de las Américas,Prisioneros políticos de Cuba,Traductores de Cuba,Traductores de literatura polaca,Traductores del francés al espanol,Traductores del polaco al espanol
La rana gritona y el león	0.315	Esopo	Esopo	Unknown	Grecia	Unknown	-600.0	0.0	Unknown	Unknown
Nada con exceso	0.88	La Fontaine, Jean de	La Fontaine	Jean de	Francia	Romanticismo	1621.0	1695.0	Charles Perrault,Giovanni Boccaccio	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII
Margarita o El poder de la farmacopea	2.815	Bioy Casares, Adolfo	Bioy Casares	Adolfo	Argentina	Romanticismo	1914.0	1999.0	Alain Robbe-Grillet,Augusto Roa Bastos,Francisco Ayala,Franz Kafka,Johann Wolfgang von Goethe,Jorge Luis Borges,Juan Rodolfo Wilcock,Julio Cortázar,Lewis Carroll,Silvina Ocampo,Victoria Ocampo	Adolfo Bioy Casares,Agnósticos de Argentina,Antifascistas de Argentina,Antiperonistas,Caballeros de la Legión de Honor,Candidatos al Premio Nobel de Literatura,Diaristas de Argentina,Escritores de género masculino de Argentina,Fallecidos en 1999,Fallecidos en Buenos Aires,Gran Premio de Honor de la SADE,Hombres,Liberales de Argentina,Nacidos en 1914,Nacidos en Buenos Aires,Novelistas de Argentina,Premio Internacional Alfonso Reyes,Premio Konex de Brillante,Premio Nacional de Letras (Argentina)
La nina de los tres maridos	4.025	Caballero, Fernán	Caballero	Fernán	España	Romanticismo	1796.0	1877.0	Benito Pérez Galdós,Juan Valera,Rosalía de Castro,Washington Irving	Escritoras de Espana,Escritores católicos de Espana,Escritores con seudónimo,Escritores costumbristas de Espana,Escritores de Espana del siglo XIX,Escritores de Suiza del siglo XIX,Escritores en espanol del siglo XIX,Espanolas del siglo XIX,Fallecidos en 1877,Fallecidos en Sevilla,Folcloristas de Espana del siglo XIX,Literatura del Realismo,Mujeres,Mujeres novelistas de Espana,Nacidos en 1796,Nacidos en Morges,Novelistas de Espana del siglo XIX
Los vecinos del principal derecha	5.155	Jardiel Poncela, Enrique	Jardiel Poncela	Enrique	España	Romanticismo	1901.0	1952.0	Manuel Machado,Miguel Mihura,Ramón Gómez de la Serna	Aforistas,Alumnado de las Escuelas Pías,Antiguos alumnos del Liceo Francés de Madrid,Dramaturgos de Espana del siglo XX,Dramaturgos de la Comunidad de Madrid,Enrique Jardiel Poncela,Escritores de Espana de la Generación del 27,Escritores de Espana del siglo XX,Escritores de Madrid,Escritores en espanol del siglo XX,Fallecidos en 1952,Fallecidos en Madrid,Hombres,Humoristas de Espana del siglo XX,Humoristas de la Comunidad de Madrid,Nacidos en 1901,Nacidos en Madrid,Novelistas de Espana del siglo XX,Premio Nacional de Teatro de Espana
El sexo de los ángeles	1.325	Benedetti, Mario	Benedetti	Mario	Uruguay	Romanticismo	1920.0	2009.0	Gabriela Mistral,José Saramago,Pablo Neruda,Rubén Darío	Fallecidos en 2009,Hombres,Mario Benedetti,Nacidos en 1920
